,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2001_17,2009_18,2009_19,2009_20,2005_21,2005_22,2009_23,2009_24,2005_25,2011_26,2009_27,2009_28,2009_29,2009_30,2009_31,2012,2009_33,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2010_43,2010_44,2010_45,2011_46,2009_47,2009_48,2011_49,2009_50,2009_51,2009_52,2005_53,2005,2006_55,2009_56,2009_57,2009_58,2006_59,2007,2009_61,2001_62,2010,2009_64,2011_elecc,2011_partic
108,48046,Gernika-Lumo,80.0,3.38,21.12,92.05,37.8,1.84,1.83,0.37,3.0,98.9,11.48,1.6,171.97,19.08,14.71,1913.0,75.81,50.46,4.3,3.08,337.09,36.87,99.25,5.14,32.67,73.8,50.46,60.4,20.21,18.64,6.98,1.75,74.38,7.33,13.09,52.65,9.82,0.62,0.6,8.78,0.0,39.45,12.75,58.77,25.94,77.79,8.34,16244.0,61.89,0.98,7.94,17.15,2.83,44.88,91.04,14.56,13.01,10.94,8.86,13.88,4.86,12.67,19.04,4.55,74.38,1
109,20039,Getaria,71.43,19.23,0.0,211.96,40.2,11.21,4.35,0.0,3.0,98.9,0.0,1.89,156.73,11.04,4.95,247.92,87.38,53.78,3.74,7.61,264.5,35.9,0.0,5.71,14.7,60.4,59.95,58.12,16.93,11.33,19.92,19.3,68.75,14.84,15.83,183.61,11.21,0.0,0.61,99.44,0.0,0.0,15.4,54.95,20.6,98.65,6.54,2628.0,59.38,0.75,11.42,4.6,12.92,25.94,97.98,34.02,62.06,9.8,1.13,19.17,8.15,17.57,20.3,9.43,80.1,1
110,48044,Getxo,40.0,11.21,28.13,82.45,36.7,0.25,1.29,1.86,3.0,98.08,0.43,0.0,183.57,13.36,9.45,6787.0,61.47,57.17,3.24,0.5,338.75,73.92,85.97,3.16,47.08,74.5,30.09,54.08,17.53,10.11,2.76,0.39,87.13,5.09,12.77,92.83,8.97,0.25,0.59,3.65,0.61,31.22,11.14,80.35,43.71,83.64,5.67,80770.0,75.77,1.48,4.98,37.39,1.68,6.3,106.05,11.91,6.6,8.15,10.02,8.3,-3.22,7.57,11.78,3.5,67.72,2
111,48047,Gizaburuaga,75.0,20.1,0.0,159.2,25.8,0.0,0.0,149.25,3.0,98.9,0.0,5.03,182.02,0.0,0.0,31.11,100.0,20.0,0.0,0.0,760.04,173.33,0.0,0.0,42.0,66.1,15.08,61.98,18.88,9.76,58.54,2.33,31.71,20.41,14.8,325.87,0.0,0.0,0.97,64.68,0.0,0.0,19.66,62.36,22.47,95.0,4.08,196.0,81.4,0.0,5.1,2.71,0.0,74.44,114.17,2.34,19.9,5.03,18.3,29.67,40.0,26.56,14.44,33.33,77.02,1
112,48042,Gordexola,42.86,7.47,0.0,706.9,46.3,11.49,3.04,0.0,3.0,100.0,0.0,1.15,184.65,7.47,3.45,42.46,99.05,62.79,5.75,0.0,313.8,65.14,90.7,2.27,39.09,65.3,29.29,61.8,22.06,9.77,9.02,14.91,81.2,5.17,12.64,444.63,5.75,0.0,0.8,25.86,11.49,60.21,16.56,59.54,23.51,100.0,3.79,1741.0,79.34,0.0,0.0,0.59,0.93,82.83,120.94,291.67,402.3,9.76,12.64,15.58,20.48,24.72,29.52,25.97,83.15,1
113,48043,Gorliz,75.0,3.12,0.0,417.95,34.8,0.0,3.65,2.73,3.0,98.9,2.25,2.93,183.18,7.78,5.56,529.41,93.56,59.69,1.82,0.0,264.37,27.71,0.0,1.55,59.86,75.3,27.15,52.76,14.35,22.16,1.17,2.35,76.68,6.48,16.07,76.7,9.09,1.85,0.63,74.14,0.0,0.0,15.21,75.06,36.15,100.0,5.11,5400.0,82.73,1.27,6.3,9.69,0.98,24.8,91.18,29.25,52.52,9.17,11.95,15.57,36.02,16.99,7.06,4.43,72.34,2
114,48045,Güeñes,26.32,6.71,0.0,865.13,41.7,6.18,3.42,26.26,3.0,100.0,3.85,2.81,183.53,9.92,6.14,154.1,89.87,45.85,4.63,1.58,316.41,38.66,88.46,4.85,39.09,66.6,31.2,57.35,19.09,18.88,6.87,6.02,74.25,6.62,13.77,209.58,9.27,1.58,0.61,3.86,0.0,21.59,17.93,54.44,16.79,92.57,5.43,6349.0,78.8,0.46,9.61,2.29,0.53,64.85,81.83,2.96,4.33,12.17,8.24,10.85,8.36,15.79,22.73,8.65,75.35,1
115,1056,Harana/Valle de Arana,100.0,16.61,0.0,229.73,47.3,0.0,0.0,0.0,3.0,98.08,0.0,-19.93,575.66,3.28,0.0,7.8,100.0,79.25,0.0,0.0,796.25,49.02,0.0,0.0,76.61,66.5,19.93,75.29,35.08,37.04,11.11,48.78,51.85,6.56,5.25,-165.66,33.78,0.0,1.02,54.05,0.0,0.0,12.32,31.34,7.39,100.0,2.95,305.0,65.74,0.0,0.0,0.57,29.51,56.11,117.69,6.79,50.68,3.32,12.14,31.49,-13.6,13.59,26.86,58.82,72.2,2
116,20040,Hernani,71.43,12.13,0.0,203.84,35.2,1.56,2.12,1.4,3.0,99.73,47.92,2.75,186.48,12.23,7.57,477.45,83.96,36.25,3.63,1.04,406.99,89.75,84.87,4.26,19.0,70.2,29.55,57.11,17.23,21.86,12.7,2.04,65.43,5.5,15.02,252.25,6.74,0.52,0.62,4.61,0.0,34.82,18.3,58.64,18.87,77.65,4.57,19289.0,69.57,1.09,2.23,6.82,1.63,65.17,82.35,10.89,15.56,10.11,7.3,12.27,3.25,11.15,14.82,9.59,65.24,2
117,20041,Hernialde,66.67,0.0,0.0,94.83,35.8,0.0,0.0,0.0,3.0,96.71,0.0,-2.88,180.19,0.0,0.0,82.38,98.51,100.0,0.0,0.0,179.15,23.35,0.0,0.0,52.75,71.1,23.05,56.56,15.03,42.86,0.0,20.0,57.14,8.67,16.18,234.14,0.0,0.0,0.84,0.0,0.0,0.0,13.16,49.67,19.41,100.0,2.31,346.0,86.98,2.87,11.56,0.33,0.0,47.38,133.19,14.29,5.75,2.88,4.5,6.66,20.56,13.64,21.68,18.87,61.57,2
118,20036,Hondarribia,25.0,8.02,0.0,171.89,38.9,0.61,2.52,3.64,3.0,99.73,14.81,2.37,188.52,9.24,5.95,571.46,92.31,54.88,3.64,3.04,241.23,33.99,95.28,2.75,42.0,72.9,25.58,55.56,16.28,16.23,3.74,5.75,80.03,8.38,15.15,72.72,4.86,0.61,0.65,73.74,4.31,20.11,15.14,67.22,27.81,89.78,5.55,16458.0,72.04,1.28,4.25,12.61,2.5,35.07,96.57,5.18,11.42,9.6,1.34,3.2,12.16,4.97,18.01,5.13,61.03,2
