,Municipio,latitud,longitud,Prediccion,part_pred_2019,Censo,Part_Votos
177,Mutiloa,43.0220391,-2.2727507,1,80,195.0,156
178,Mutriku,43.3071181,-2.3871098,2,67,4086.0,2737
179,Muxika,43.2896199,-2.6891984,2,75,1155.0,866
180,Nabarniz,43.3215488,-2.5844368,1,85,209.0,177
181,Navaridas,42.5451885,-2.624741,1,78,149.0,116
182,Oiartzun,43.29848610000001,-1.8596587,2,66,8023.0,5295
183,Okondo,43.1547427,-3.0267479,1,75,895.0,671
184,Olaberria,43.0269276,-2.2036619,1,73,756.0,551
185,Ondarroa,43.3207293,-2.4207497000000004,2,68,6884.0,4681
186,Ordizia,43.05396870000001,-2.1795046,2,67,6971.0,4670
187,Orendain,43.0794987,-2.1141376,1,81,145.0,117
188,Orexa,43.09423579999999,-2.0113193,1,84,89.0,74
189,Orio,43.2760488,-2.127262,2,68,4282.0,2911
190,Ormaiztegi,43.0431256,-2.254814,2,76,976.0,741
191,Orozko,43.1065632,-2.9121005,2,71,2020.0,1434
192,Ortuella,43.3105667,-3.0555981,2,63,6947.0,4376
193,Otxandio,43.0408347,-2.6542222,2,77,969.0,746
194,Oyón-Oion,42.506553,-2.4357886000000004,2,69,2316.0,1598
195,Oñati,43.0328523,-2.4137149,2,68,8871.0,6032
196,Peñacerrada-Urizaharra,42.6441334,-2.7136577,1,74,233.0,172
197,Plentzia,43.4051753,-2.9478553,2,70,3367.0,2356
198,Portugalete,43.3191292,-3.0199529,2,59,38475.0,22700
199,Ribera Baja/Erribera Beitia,42.7255641,-2.9076507,2,67,965.0,646
200,Salvatierra/Agurain,42.8492823,-2.3890592,2,68,3593.0,2443
201,Samaniego,42.5682299,-2.6790583,1,77,254.0,195
202,San Millán/Donemiliaga,42.8798717,-2.3909783,1,67,586.0,392
203,Santurtzi,43.3287527,-3.0318766,2,59,37491.0,22119
204,Segura,43.009086,-2.2527923,2,76,1095.0,832
205,Sestao,43.309341,-3.0074501,2,61,22359.0,13638
206,Sondika,43.2990664,-2.9260509,2,66,3493.0,2305
207,Sopela,43.3802735,-2.9838326,2,63,10355.0,6523
208,Sopuerta,43.2768146,-3.1586864,2,73,2061.0,1504
209,Soraluze-Placencia de las Armas,43.1743014,-2.412928,2,67,3007.0,2014
210,Sukarrieta,43.394207,-2.6970992000000003,1,83,311.0,258
211,Tolosa,43.1386097,-2.0723558,2,64,14809.0,9477
212,Trucios-Turtzioz,43.2835564,-3.2805440000000003,1,77,430.0,331
213,Ubide,43.0241516,-2.6888828,1,81,137.0,110
214,Ugao-Miraballes,43.1803743,-2.9016079,2,64,3294.0,2108
215,Urduliz,43.3730856,-2.9483534,2,68,3310.0,2250
216,Urduña/Orduña,42.994926,-3.0099150000000003,2,73,3299.0,2408
217,Urkabustaiz,42.9709057,-2.9186291,2,73,968.0,706
218,Urnieta,43.24687,-1.9917045,2,65,4746.0,3084
219,Urretxu,43.0920435,-2.3170309,2,63,5219.0,3287
220,Usurbil,43.2703088,-2.0502559,2,67,4686.0,3139
221,Valdegovía/Gaubea,42.84777,-3.09883,1,74,836.0,618
222,Valle de Trápaga-Trapagaran,43.3047516,-3.0379311,2,60,9968.0,5980
223,Villabona,43.1807608,-2.0346714,2,64,4368.0,2795
224,Villabuena de Álava/Eskuernaga,42.5470187,-2.665437,1,82,238.0,195
225,Yécora/Iekora,42.5678349,-2.4704011,1,78,200.0,156
226,Zaldibar,43.16899229999999,-2.5487689,2,66,2341.0,1545
227,Zaldibia,43.0382572,-2.1509537999999995,2,73,1161.0,847
228,Zalduondo,42.88569,-2.347318,1,80,154.0,123
229,Zambrana,42.6616812,-2.8789406000000004,1,73,309.0,225
230,Zamudio,43.2827605,-2.8623645,2,70,2545.0,1781
231,Zaratamo,43.211818,-2.873426,2,73,1298.0,947
232,Zarautz,43.2834873,-2.1723467,2,64,17864.0,11432
233,Zeanuri,43.0984018,-2.7494734,1,83,995.0,825
234,Zeberio,43.1476164,-2.8481716,2,78,879.0,685
235,Zegama,42.9758091,-2.29036,2,78,1153.0,899
236,Zerain,43.0125385,-2.2733725,1,80,197.0,157
237,Zestoa,43.2401376,-2.2585203,2,71,2815.0,1998
238,Zierbena,43.35183189999999,-3.082039,2,77,1246.0,959
239,Zigoitia,42.9683591,-2.7289188,2,68,1381.0,939
240,Ziortza-Bolibar,43.249783,-2.5494086,1,81,363.0,294
241,Zizurkil,43.1992503,-2.0741092,2,67,2226.0,1491
242,Zuia,42.9817245,-2.831737,2,69,1796.0,1239
243,Zumaia,43.296653000000006,-2.2571182,2,68,7497.0,5097
244,Zumarraga,43.086979,-2.3199345,2,66,7896.0,5211
