,2009_1,2017_2,2009_3,2009_4,2016_5,2009_6,2017_7,2009_8,2016_9,2013_10,2015_11,2017_12,2017_13,2017_14,2017_15,2017_16,2009_17,2001,2017_19,2016_20,2017_21,2005_22,2005_23,2016_24,2017_25,2005,2011_27,2017_28,2017_29,2017_30,2017_31,2017_32,2017_33,2017_34,2017_35,2017_36,2016_37,2013_38,2016_39,2016_40,2017_41,2016_42,2016_43,2016_44,2016_45,2016_46,2011_47,2017_48,2017_49,2011_50,2015_51,2009_52,2017_53,2017_54,2016_55,2016_56,2016_57,2009_58,2009_59,2017_60,2017_61,2006,2007,2017,2011_65,2016_66,2009_67
132,83.33,6.61,0.0,96.91,68.0,0.0,3.08,0.0,3.0,100.0,38.41,-5.15,835.89,9.18,5.14,19.69,83.33,99.86,81.44,3.66,3.68,350.88,34.92,81.82,4.35,27.84,65.3,41.87,69.18,27.49,6.74,3.11,50.26,39.9,12.12,10.42,190.35,10.74,190.35,0.91,65.51,0.0,88.35,17.3,49.32,13.09,93.69,2.47,2717.0,50.93,0.37,96.91,1.84,0.26,0.14,39.07,110.5,16.81,14.36,9.2,-5.15,11.6,34.88,-3.52,23.0,47.46,7.87
133,50.0,6.71,0.0,95.47,43.2,0.0,9.84,0.0,3.0,100.0,21.28,2.25,173.43,4.47,2.24,37.65,50.0,99.38,54.29,0.0,0.0,221.56,39.94,0.0,0.0,70.3,66.6,58.17,72.48,20.45,0.0,2.63,36.84,60.53,8.95,17.3,123.52,0.0,123.52,0.8,22.47,0.0,0.0,19.63,65.97,28.27,96.67,2.47,445.0,86.26,0.0,95.47,13.48,0.27,2.28,67.77,135.1,12.82,11.93,4.49,2.25,11.26,16.28,10.42,18.18,41.78,17.86
134,87.5,0.0,0.0,641.03,47.4,0.0,35.95,0.0,3.0,100.0,0.0,0.0,168.49,0.0,0.0,14.71,87.5,98.68,100.0,0.0,0.0,333.11,37.13,0.0,0.0,10.68,64.2,91.89,84.0,26.09,0.0,6.25,78.12,15.62,5.41,14.13,65.34,53.19,65.34,0.79,0.0,0.0,0.0,18.13,50.29,13.45,81.82,2.17,184.0,68.06,0.0,641.03,5.43,1.18,59.63,22.7,109.5,13.51,102.56,5.43,0.0,13.16,39.94,0.0,28.23,17.09,28.57
135,100.0,64.86,0.0,523.94,36.3,28.17,17.73,0.0,3.0,100.0,22.36,-2.69,269.29,0.0,2.7,4.42,100.0,100.0,100.0,0.0,0.0,499.71,19.66,0.0,0.0,76.79,64.5,24.32,58.3,24.73,2.44,2.44,53.66,41.46,5.41,10.48,792.68,0.0,792.68,1.22,21.51,0.0,0.0,21.39,58.13,18.67,100.0,2.42,372.0,85.21,0.0,523.94,13.44,0.79,17.98,53.4,148.8,1.42,28.17,8.06,-2.69,7.88,22.97,3.91,16.2,35.14,107.14
136,50.0,12.35,0.0,501.7,38.0,0.0,7.48,0.0,3.0,98.36,32.28,1.38,366.71,6.86,1.37,37.97,50.0,83.98,59.51,6.85,6.88,400.56,11.49,0.0,7.32,57.56,63.9,34.32,68.87,18.98,8.52,14.2,32.39,44.89,16.47,16.64,15.93,6.72,15.93,0.83,104.54,0.0,0.0,18.76,57.11,16.87,96.36,10.18,1454.0,58.27,0.0,501.7,2.06,2.61,39.02,25.7,105.4,19.98,110.13,8.94,1.38,2.44,28.75,-1.42,12.07,16.8,12.88
137,53.33,23.95,0.0,1252.0,64.8,0.0,0.0,0.0,3.0,98.36,15.15,-12.05,326.54,0.0,0.0,3.66,53.33,99.22,100.0,0.0,0.0,312.34,17.24,0.0,0.0,84.23,67.5,11.98,82.42,36.75,8.0,4.0,48.0,40.0,11.98,6.63,93.02,0.0,93.02,1.02,30.12,0.0,0.0,22.89,50.0,12.65,100.0,0.6,166.0,69.86,0.0,1252.0,-12.05,0.63,16.13,71.0,101.4,1.18,16.85,0.0,-12.05,21.44,30.23,-14.43,6.7,19.63,333.33
138,100.0,11.82,0.0,362.07,35.3,0.0,7.35,0.0,3.0,100.0,18.87,-11.89,369.54,4.43,1.48,27.66,100.0,99.64,65.28,14.68,0.0,689.23,8.31,0.0,4.76,33.72,63.6,26.59,78.04,24.96,8.84,24.49,40.14,26.53,8.86,14.86,63.64,14.68,63.64,0.78,5.94,0.0,0.0,10.75,46.71,13.64,91.49,12.78,673.0,50.62,0.0,362.07,13.37,1.84,60.83,6.25,103.1,11.72,43.1,4.46,-11.89,9.63,43.16,-2.04,23.94,16.27,12.5
139,75.0,3.75,0.0,720.59,41.7,0.0,0.0,0.0,1.0,100.0,4.95,-18.66,433.45,3.75,3.75,235.09,75.0,99.3,56.86,0.0,0.0,245.01,30.39,100.0,0.0,27.84,62.9,3.75,57.65,24.63,15.38,3.85,30.77,50.0,14.98,9.33,123.14,37.59,123.14,0.8,0.0,93.28,0.0,13.64,45.83,14.02,100.0,3.73,268.0,60.22,0.0,720.59,-7.46,14.65,0.0,41.23,111.1,1.34,7.35,7.46,-18.66,0.0,43.73,-8.84,13.78,37.57,45.45
140,100.0,34.68,0.0,12.54,45.2,0.0,5.62,0.0,2.0,98.36,13.85,-3.34,239.78,1.12,3.36,13.28,100.0,100.0,22.71,0.0,11.12,293.27,10.65,0.0,0.0,53.72,63.9,31.32,59.68,22.58,6.14,21.05,39.47,33.33,10.07,11.23,289.87,0.0,289.87,1.02,44.49,0.0,0.0,23.83,56.57,13.73,90.38,5.9,899.0,69.81,1.13,12.54,4.45,3.13,54.12,27.81,106.0,2.46,51.2,6.67,-3.34,6.6,28.33,-6.74,26.56,54.31,103.45
141,0.0,4.67,0.0,420.32,41.1,0.0,0.0,0.0,3.0,100.0,84.75,0.0,362.22,5.84,1.17,143.41,0.0,98.44,55.37,11.74,0.0,522.21,7.98,0.0,6.9,48.35,63.1,32.71,66.8,20.95,2.98,26.79,49.4,20.83,10.51,14.9,69.22,23.23,69.22,0.82,26.78,0.0,0.0,11.68,49.42,15.53,72.22,10.24,859.0,46.99,0.0,420.32,-6.98,7.2,60.6,5.51,109.6,1.13,5.77,15.13,0.0,13.09,40.9,-2.61,22.22,42.58,9.26
