,Código municipio,Municipio,2009_1,2013_2,2009_3,2009_4,2013_5,2009_6,2013_7,2009_8,2013_9,2013_10,2013_11,2013_12,2014_13,2013_14,2013_15,2013_16,2009_17,2001,2013_19,2014_20,2013_21,2005_22,2005_23,2011_24,2013_25,2005_26,2011_27,2013_28,2013_29,2013_30,2013_31,2013_32,2013_33,2013_34,2013_35,2013_36,2013_37,2013_38,2013_39,2013_40,2010_41,2011_42,2011_43,2013_44,2013_45,2013_46,2011_47,2013_48,2013_49,2011_50,2013_51,2009_52,2013_53,2013_54,2005_55,2010_56,2013_57,2009_58,2009_59,2013_60,2013_61,2006,2007,2013_64,2011,2013,2009_67,2015_partic,estado_animo,satisfaccion_ocio,valor_vida,satisfaccion_vida
110,48044,Getxo,40.0,"5,83","28,13","82,45","39,20","0,25","1,24","1,86","3,00","99,45","2,73","0,60","176,25","11,61","7,93","6.754,57","40,00","61,47","56,18","3,30","0,63","338,75","73,92","91,49","3,43","47,08","74,50","33,35","60,27","20,35","7,74","2,37","0,47","89,43","4,72","12,76","56,28","7,04","56,28","0,61","2,92","0,55","29,40","12,09","81,30","44,03","83,64","6,22","79.839,00","75,77","1,46","82,45","-3,40","40,99","1,68","6,22","105,80","11,91","6,60","8,19","0,60","10,02","8,30","-4,53","9,77","16,02","3,50",2,1,2,2,1
111,48047,Gizaburuaga,75.0,"9,35","0,00","159,20","28,80","0,00","0,00","149,25","2,00","100,00","0,00","0,00","179,32","14,02","14,02","35,30","75,00","100,00","30,92","0,00","0,00","760,04","173,33","0,00","0,00","42,00","66,10","18,69","65,38","17,21","9,09","45,45","4,55","40,91","14,02","19,53","299,12","0,00","299,12","0,93","63,41","0,00","0,00","19,25","63,64","26,20","95,00","4,65","215,00","81,40","0,00","159,20","4,67","1,72","0,00","73,17","115,00","2,34","19,90","14,02","0,00","18,30","29,67","53,57","10,99","17,05","33,33",2,1,2,2,1
112,48042,Gordexola,42.86,"13,42","0,00","706,90","48,70","11,49","3,48","0,00","3,00","100,00","0,00","-3,50","178,68","6,42","2,92","41,82","42,86","99,05","58,91","5,85","0,00","313,80","65,14","88,37","2,08","39,09","65,30","32,09","62,13","21,55","9,20","5,52","20,25","65,03","5,83","13,45","24,06","5,85","24,06","0,88","47,27","11,54","61,50","18,50","63,00","24,65","100,00","3,84","1.717,00","79,34","0,00","706,90","0,00","0,78","0,93","81,90","120,70","291,67","402,30","7,00","-3,50","12,64","15,58","12,00","21,79","32,66","25,97",1,1,2,2,1
113,48043,Gorliz,75.0,"5,68","0,00","417,95","36,40","0,00","3,92","2,73","3,00","100,00","2,23","0,00","174,88","7,27","3,73","557,36","75,00","93,56","47,53","3,53","0,00","264,37","27,71","0,00","3,14","59,86","75,30","40,63","56,27","15,18","15,62","2,10","3,00","79,28","6,21","16,62","75,05","5,30","75,05","0,67","73,98","0,00","0,00","15,76","76,85","37,07","100,00","4,85","5.607,00","82,73","1,77","417,95","1,95","17,44","0,98","37,94","92,10","29,25","52,52","7,81","0,00","11,95","15,57","20,53","12,18","11,54","4,43",2,1,2,2,1
114,48045,Güeñes,26.32,"7,50","0,00","865,13","41,80","6,18","4,44","26,26","3,00","100,00","3,80","1,53","175,57","9,19","5,05","157,19","26,32","89,87","49,77","4,56","1,53","316,41","38,66","100,00","3,94","39,09","66,60","28,18","61,76","19,32","14,19","6,33","6,99","72,49","5,67","15,19","38,71","9,18","38,71","0,61","3,91","0,00","20,67","18,81","56,85","18,01","92,57","6,52","6.522,00","78,80","1,22","865,13","-4,90","2,53","0,53","66,33","83,00","2,96","4,33","9,65","1,53","8,24","10,85","9,43","14,48","24,77","8,65",1,1,2,2,1
115,1056,Harana/Valle de Arana,100.0,"15,38","0,00","229,73","47,50","0,00","0,00","0,00","3,00","98,36","0,00","-3,85","653,20","3,85","0,00","6,66","100,00","100,00","100,00","0,00","0,00","796,25","49,02","0,00","0,00","76,61","66,50","38,46","89,78","38,85","13,64","4,55","52,27","29,55","7,69","6,54","-13,86","38,61","-13,86","1,17","55,75","0,00","0,00","11,72","31,64","6,25","100,00","0,77","260,00","65,74","0,00","229,73","-23,08","0,77","29,51","56,04","124,30","6,79","50,68","3,85","-3,85","12,14","31,49","-22,62","29,03","27,53","58,82",2,2,2,2,2
116,20040,Hernani,71.43,"9,40","0,00","203,84","36,30","1,56","2,49","1,40","3,00","100,00","43,80","-0,26","167,71","10,06","6,62","485,31","71,43","83,96","34,28","3,57","1,55","406,99","89,75","95,00","4,24","19,00","70,20","33,01","63,26","18,88","17,93","13,13","3,04","65,90","5,60","15,32","47,67","5,10","47,67","0,64","4,61","0,00","33,63","20,13","61,34","19,43","77,65","4,64","19.354,00","69,57","1,53","203,84","1,85","5,60","1,63","65,05","82,30","10,89","15,56","7,03","-0,26","7,30","12,27","3,24","10,78","17,95","9,59",2,2,1,1,2
117,20041,Hernialde,66.67,"2,85","0,00","94,83","38,90","0,00","0,00","0,00","2,00","99,18","0,00","-2,85","179,60","0,00","0,00","84,21","66,67","98,51","100,00","0,00","0,00","179,15","23,35","0,00","0,00","52,75","71,10","28,49","51,72","15,62","26,09","0,00","34,78","39,13","5,70","15,62","53,97","0,00","53,97","0,93","0,00","0,00","0,00","15,18","50,17","20,46","100,00","5,68","352,00","86,98","0,00","94,83","11,40","0,60","0,00","47,38","133,50","14,29","5,75","2,85","-2,85","4,50","6,66","19,73","12,21","22,90","18,87",2,2,1,1,2
118,20036,Hondarribia,25.0,"11,40","0,00","171,89","39,60","0,61","2,77","3,64","2,00","100,00","14,33","-1,60","182,14","8,79","5,70","564,54","25,00","92,31","44,50","3,54","2,38","241,23","33,99","100,00","4,12","42,00","72,90","24,87","64,29","19,01","12,88","3,87","5,77","77,49","8,13","15,68","306,59","4,74","306,59","0,72","73,34","4,30","18,42","16,12","69,04","28,64","89,78","6,13","16.795,00","72,04","1,12","171,89","1,78","10,18","2,50","40,87","96,60","5,18","11,42","6,29","-1,60","1,34","3,20","8,40","8,65","18,55","5,13",2,2,1,1,2
119,20042,Ibarra,57.14,"4,22","0,00","237,05","40,00","4,60","6,14","0,00","3,00","99,18","0,00","1,64","154,86","8,21","3,05","831,97","57,14","86,57","45,25","4,68","0,00","298,64","52,48","0,00","3,68","17,16","71,10","26,28","63,03","19,28","15,72","19,73","5,69","58,86","3,52","15,18","27,03","4,70","27,03","0,66","0,00","0,00","0,00","20,56","53,09","16,84","98,96","6,19","4.268,00","85,28","0,00","237,05","2,82","10,14","1,80","45,00","84,50","16,00","5,52","10,09","1,64","1,41","1,67","-2,42","11,17","13,74","17,43",2,2,1,1,2
120,48048,Ibarrangelu,66.67,"15,72","0,00","192,18","37,90","32,57","6,06","0,00","3,00","100,00","0,00","-1,57","119,39","4,72","1,57","44,35","66,67","100,00","100,00","15,62","0,00","239,60","32,59","0,00","9,09","50,66","65,10","144,65","59,60","24,05","2,04","2,04","16,33","79,59","29,87","10,28","318,02","15,65","318,02","0,75","168,24","0,00","0,00","14,60","70,63","38,54","98,18","1,11","632,00","84,36","0,00","192,18","6,29","1,62","0,00","62,82","117,40","4,49","17,92","7,86","-1,57","16,52","21,54","17,04","13,91","18,59","48,39",1,1,2,2,1
121,20043,Idiazabal,70.0,"28,66","0,00","247,68","44,70","4,42","5,73","2,21","3,00","99,18","0,00","6,51","157,88","7,82","3,91","78,38","70,00","97,67","28,00","4,33","4,35","225,84","44,33","0,00","5,66","36,20","66,40","24,75","70,30","20,23","11,64","19,58","12,70","56,08","3,91","17,36","91,30","8,67","91,30","0,83","23,25","0,00","0,00","19,73","59,05","20,13","98,86","5,52","2.299,00","73,28","0,00","247,68","-5,21","2,05","0,17","65,12","104,60","13,42","18,58","13,03","6,51","1,85","10,00","11,93","24,13","27,35","8,65",1,2,1,1,2
122,48094,Igorre,71.43,"2,36","0,00","190,14","38,80","2,36","3,53","2,12","3,00","98,90","0,00","3,54","173,07","13,69","8,02","247,74","71,43","90,24","21,96","2,36","2,36","261,18","41,31","0,00","3,70","41,79","74,90","39,88","52,40","16,17","11,76","12,03","7,49","68,72","7,31","14,83","77,41","11,77","77,41","0,68","17,32","0,00","0,00","21,37","58,56","19,72","93,96","9,13","4.229,00","66,78","0,00","190,14","-3,54","4,19","1,85","67,11","93,60","15,98","20,05","9,91","3,54","0,80","6,90","5,86","14,27","14,10","11,24",2,1,2,2,1
123,20044,Ikaztegieta,33.33,"17,24","0,00","300,00","40,70","42,55","13,98","40,43","3,00","99,18","0,00","2,16","155,58","2,16","4,31","229,70","33,33","97,18","29,86","0,00","0,00","748,15","36,37","100,00","14,29","52,75","65,30","30,17","62,24","18,75","5,45","30,91","7,27","56,36","10,78","14,66","103,66","0,00","103,66","0,76","0,00","59,70","0,00","18,89","62,71","16,95","100,00","3,02","464,00","85,56","0,00","300,00","-4,31","5,59","1,00","46,50","103,80","11,49","21,28","6,47","2,16","0,70","6,43","20,21","16,67","20,79","27,78",2,2,1,1,2
