,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2009_17,2001_18,2009_19,2009_20,2009_21,2005_22,2005_23,2009_24,2009_25,2005_26,2011_27,2009_28,2009_29,2009_30,2009_31,2009_32,2012,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2009_43,2010_44,2010_45,2010_46,2011_47,2009_48,2009_48,2011_50,2009_51,2009_52,2009_53,2009_54,2005_55,2005,2006_57,2009_58,2009_59,2009_60,2009_61,2006_62,2007,2009_64,2001_65,2010,2009,2011_partic,estado_animo,satisfaccion_ocio,valor_vida,satisfaccion_vida
20,20011,Antzuola,59.64,"5,54","0,00","261,92","32,60","9,25","3,99","14,81","3,00","96,44","0,00","10,16","159,32","6,92","2,77","78,27",60.61,"94,17","20,25","4,63","0,00","287,23","77,31","62,50","4,26","31,45","71,90","60,51","53,65","16,79","21,68","14,69","8,51","63,64","5,07","14,62","733,07","9,25","733,07","0,63","5,55","0,00","21,39","21,59","64,39","20,69","100,00","4,75","2.168,00","63,14","0,46","261,92","0,92","0,99","0,11","80,69","94,25","10,99","13,88","18,01","10,16","8,65","7,81","14,11","13,47","11,25","17,86",2,2,1,1,2
21,48005,Arakaldo,28.57,"19,23","0,00","892,86","45,20","0,00","0,00","0,00","3,00","100,00","0,00","-9,62","214,49","10,53","21,05","36,54","28,57","100,00","33,96","0,00","105,26","293,96","64,37","0,00","0,00","48,71","59,40","115,38","82,69","28,42","22,22","22,22","4,76","55,56","21,05","16,84","297,22","0,00","297,22","1,01","294,64","0,00","0,00","23,47","58,16","17,35","100,00","0,00","95,00","85,71","8,93","892,86","-31,58","5,42","6,15","79,62","97,27","2,84","35,71","0,00","-9,62","1,05","9,55","7,95","26,67","39,34","100,00",1,1,2,2,1
22,20012,Arama,33.33,"62,20","0,00","435,78","30,90","0,00","18,99","0,00","3,00","96,71","0,00","4,78","163,20","15,08","15,08","153,08","33,33","100,00","20,00","0,00","0,00","264,50","69,44","0,00","0,00","30,80","67,80","23,92","73,04","22,11","17,86","14,29","12,50","67,86","5,03","16,08","175,46","0,00","175,46","2,08","0,00","0,00","0,00","21,28","63,30","19,68","92,86","4,02","199,00","88,76","4,59","435,78","-5,03","2,54","1,54","57,69","134,96","42,42","64,22","14,35","4,78","0,70","9,98","18,45","13,11","12,50","47,62",1,2,1,1,2
23,1003,Aramaio,66.67,"9,35","0,00","66,80","35,20","0,00","6,64","0,00","3,00","96,44","0,00","-2,00","155,58","6,00","0,67","20,31","66,67","95,61","52,49","6,68","0,00","293,72","14,87","0,00","4,44","31,45","68,90","13,35","61,88","19,08","19,75","9,88","25,56","70,37","6,00","15,41","238,30","13,36","238,30","0,79","18,70","0,00","0,00","21,61","60,18","22,35","100,00","2,33","1.499,00","89,22","0,00","66,80","2,67","0,15","0,88","77,75","121,39","4,50","3,34","10,01","-2,00","9,78","9,21","9,18","15,60","14,16","16,95",1,2,2,2,2
24,48006,Arantzazu,50.0,"28,57","0,00","461,54","43,30","0,00","22,25","0,00","3,00","96,44","0,00","3,17","182,25","0,00","0,00","80,26","50,00","87,14","47,50","0,00","0,00","254,66","63,14","0,00","0,00","27,94","68,50","47,62","50,25","20,00","6,67","6,67","11,11","86,67","6,56","10,82","623,18","0,00","623,18","0,74","0,00","0,00","0,00","21,84","63,14","23,89","100,00","2,62","305,00","91,98","0,00","461,54","3,28","2,58","2,37","74,47","118,20","1,02","3,08","9,52","3,17","0,14","6,99","12,96","16,94","36,84","50,00",1,1,2,2,1
25,48093,Areatza,37.5,"5,28","0,00","302,98","37,30","8,76","3,81","0,00","3,00","96,44","21,13","3,52","182,26","8,84","1,77","124,29","37,50","95,93","50,88","8,76","0,00","363,30","51,41","0,00","3,12","58,78","64,70","29,90","59,75","18,57","30,85","5,32","15,58","63,83","7,07","15,65","-64,75","17,51","-64,75","0,66","107,71","0,00","0,00","17,54","59,11","21,67","100,00","11,58","1.131,00","80,55","0,88","302,98","7,96","1,09","0,44","88,24","95,12","21,21","18,39","12,31","3,52","0,68","10,20","8,33","18,24","14,93","21,39",1,1,2,2,1
26,20013,Aretxabaleta,13.33,"4,03","14,80","161,04","32,60","1,49","2,27","9,25","3,00","96,44","0,00","1,34","164,00","9,12","5,08","229,86","13,33","77,69","29,04","2,99","0,00","306,64","76,58","65,53","4,94","24,50","79,10","21,66","52,68","16,34","20,40","15,70","3,40","63,90","5,53","14,37","374,52","7,46","374,52","0,62","1,79","1,79","172,14","19,60","63,03","21,54","89,73","4,31","6.689,00","72,44","0,60","161,04","0,75","1,74","0,07","51,75","87,44","24,31","18,36","10,31","1,34","7,74","4,65","9,73","6,97","8,13","6,11",2,2,1,1,2
27,1006,Armiñón,100.0,"310,19","0,00","195,56","49,20","0,00","0,00","0,00","2,00","98,08","0,00","9,26","169,43","0,00","0,00","19,53","100,00","100,00","17,93","0,00","0,00","808,64","9,46","0,00","0,00","54,32","68,20","74,07","58,02","20,29","5,26","21,05","17,39","73,68","4,83","13,53","956,08","0,00","956,08","0,87","0,00","0,00","0,00","18,78","53,81","13,20","95,00","1,93","207,00","86,67","0,00","195,56","-4,83","2,26","89,53","8,49","147,68","16,67","177,78","13,89","9,26","0,96","18,61","35,29","15,74","28,21","62,50",1,2,2,2,2
28,1037,Arraia-Maeztu,31.25,"18,34","0,00","494,35","45,20","0,00","8,49","70,62","3,00","98,08","0,00","-7,05","264,14","4,23","1,41","5,77","31,25","98,53","75,14","0,00","14,08","285,43","18,95","0,00","12,50","48,45","67,90","33,85","54,35","24,51","25,00","15,00","38,64","60,00","7,04","8,73","47,74","14,12","47,74","0,91","66,38","0,00","0,00","19,16","51,28","15,69","100,00","6,06","710,00","73,73","1,41","494,35","-2,82","0,55","15,90","62,75","108,04","4,42","42,37","7,05","-7,05","15,21","22,31","-0,28","10,58","22,28","285,71",2,2,2,2,2
29,48009,Arrankudiaga,83.33,"19,67","0,00","510,87","42,40","0,00","0,00","21,74","1,00","100,00","0,00","1,09","142,60","3,30","0,00","39,87","83,33","98,61","41,87","0,00","0,00","264,86","25,21","0,00","2,94","37,68","69,70","46,99","56,72","18,92","14,71","27,21","4,51","58,09","6,60","13,97","509,41","0,00","509,41","0,94","9,78","0,00","0,00","17,38","61,00","24,91","94,12","1,87","909,00","83,33","1,09","510,87","1,10","1,43","0,70","73,25","104,32","13,19","46,74","13,11","1,09","4,07","10,49","22,01","20,62","27,13","35,21",1,1,2,2,1
