,Municipio,latitud,longitud,Prediccion,part_pred_2019
180,Nabarniz,43.321548799999995,-2.5844367999999998,1,85
181,Navaridas,42.5451885,-2.6247409999999998,1,78
182,Oiartzun,43.298486100000005,-1.8596587,2,66
183,Okondo,43.1547427,-3.0267479,1,75
184,Olaberria,43.0269276,-2.2036618999999997,1,73
185,Ondarroa,43.320729299999996,-2.4207497000000004,2,68
186,Ordizia,43.053968700000006,-2.1795046,2,67
187,Orendain,43.0794987,-2.1141376,1,81
188,Orexa,43.09423579999999,-2.0113193,1,84
189,Orio,43.2760488,-2.127262,2,68
190,Ormaiztegi,43.043125599999996,-2.254814,2,76
191,Orozko,43.106563200000004,-2.9121005,2,71
192,Ortuella,43.3105667,-3.0555981,2,63
193,Otxandio,43.0408347,-2.6542222,2,77
194,Oyón-Oion,42.506553000000004,-2.4357886000000004,2,69
195,Oñati,43.0328523,-2.4137148999999996,2,68
196,Peñacerrada-Urizaharra,42.644133399999994,-2.7136577,1,74
197,Plentzia,43.405175299999996,-2.9478553,2,70
198,Portugalete,43.3191292,-3.0199529,2,59
199,Ribera Baja/Erribera Beitia,42.7255641,-2.9076507,2,67
200,Salvatierra/Agurain,42.8492823,-2.3890592,2,68
201,Samaniego,42.5682299,-2.6790583,1,77
202,San Millán/Donemiliaga,42.8798717,-2.3909783,1,67
203,Santurtzi,43.3287527,-3.0318766,2,59
204,Segura,43.009085999999996,-2.2527923,2,76
205,Sestao,43.309340999999996,-3.0074501000000002,2,61
206,Sondika,43.2990664,-2.9260509,2,66
207,Sopela,43.3802735,-2.9838326,2,63
208,Sopuerta,43.2768146,-3.1586863999999997,2,73
209,Soraluze-Placencia de las Armas,43.1743014,-2.412928,2,67
210,Sukarrieta,43.394207,-2.6970992000000003,1,83
211,Tolosa,43.1386097,-2.0723558,2,64
212,Trucios-Turtzioz,43.2835564,-3.2805440000000003,1,77
213,Ubide,43.0241516,-2.6888827999999996,1,81
214,Ugao-Miraballes,43.1803743,-2.9016078999999997,2,64
215,Urduliz,43.3730856,-2.9483534,2,68
216,Urduña/Orduña,42.994926,-3.0099150000000003,2,73
217,Urkabustaiz,42.9709057,-2.9186291,2,73
218,Urnieta,43.24687,-1.9917044999999998,2,65
219,Urretxu,43.0920435,-2.3170309,2,63
220,Usurbil,43.2703088,-2.0502559,2,67
221,Valdegovía/Gaubea,42.847770000000004,-3.09883,1,74
222,Valle de Trápaga-Trapagaran,43.3047516,-3.0379311,2,60
223,Villabona,43.180760799999995,-2.0346714,2,64
224,Villabuena de Álava/Eskuernaga,42.5470187,-2.665437,1,82
225,Yécora/Iekora,42.5678349,-2.4704011,1,78
226,Zaldibar,43.16899229999999,-2.5487689,2,66
227,Zaldibia,43.038257200000004,-2.1509537999999995,2,73
228,Zalduondo,42.885690000000004,-2.347318,1,80
229,Zambrana,42.661681200000004,-2.8789406000000004,1,73
230,Zamudio,43.282760499999995,-2.8623645,2,70
231,Zaratamo,43.211818,-2.873426,2,73
232,Zarautz,43.2834873,-2.1723467,2,64
233,Zeanuri,43.0984018,-2.7494734,1,83
234,Zeberio,43.1476164,-2.8481716,2,78
235,Zegama,42.9758091,-2.2903599999999997,2,78
236,Zerain,43.0125385,-2.2733725,1,80
237,Zestoa,43.2401376,-2.2585203,2,71
238,Zierbena,43.35183189999999,-3.082039,2,77
239,Zigoitia,42.9683591,-2.7289187999999998,2,68
240,Ziortza-Bolibar,43.249783,-2.5494086,1,81
241,Zizurkil,43.199250299999996,-2.0741092,2,67
242,Zuia,42.9817245,-2.831737,2,69
243,Zumaia,43.296653000000006,-2.2571182,2,68
244,Zumarraga,43.086979,-2.3199345,2,66
